用户ID,服务ID,时间,行为,内容
Paul,Youtube,"Uploaded on Jan 10, 2007",Created playlists,"Video Blog:  The *Real* Apple iPhone"" data-video-id=""k_WeEwDylrc"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 26, 2007",Created playlists,"Road Trip USA"" data-video-id=""kV5-mEToJCs"" data-set-video-id="""
Paul,Youtube,"Uploaded on Sep 15, 2006",Created playlists,"TheUNreleasedMacAd"" data-video-id=""Mc_uyC_GF3A"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jan 2, 2007",Created playlists,"3 Day Old Bunnies"" data-video-id=""8Cv14BYah4o"" data-set-video-id="""
Paul,Youtube,"Published on Jun 7, 2012",Created playlists,Knightmare Series 4 Episode 10
Paul,Youtube,"Uploaded on Jun 20, 2006",Created playlists,"Where the Hell is Matt? 2006"" data-video-id=""bNF_P281Uu4"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 16, 2007",Created playlists,"Mandy Moore - Umbrella"" data-video-id=""BMB6YOWzQMY"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jul 22, 2006",Created playlists,"Baby Kitten"" data-video-id=""CyLoSA0nZ7M"" data-set-video-id="""
Paul,Youtube,"Published on Jun 7, 2012",Created playlists,Knightmare Series 4 Episode 11
Paul,Youtube,"Uploaded on Aug 6, 2006",Created playlists,"Nina Conti"" data-video-id=""bqM5uVd4lT8"" data-set-video-id="""
Paul,Youtube,,Created playlists,"[Private video]"" data-video-id=""qHO8l-Bd1O4"" data-set-video-id="""
Paul,Youtube,"Published on Jun 7, 2012",Created playlists,Knightmare Series 4 Episode 12
Paul,Youtube,"Uploaded on Dec 8, 2006",Created playlists,"Silent Star Wars"" data-video-id=""8mBDQXWflbM"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 31, 2006",Created playlists,"A Tried And Tested Method - The Longcut"" data-video-id=""2pEv9nNYtnw"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jan 8, 2007",Created playlists,"Brave Bunny"" data-video-id=""hSPIR3pclYw"" data-set-video-id="""
Paul,Youtube,"Uploaded on Dec 18, 2006",Created playlists,"How Michel Gondry Faked His Rubik&#39;s Cube Stunt"" data-video-id=""TaVsaWjzsds"" data-set-video-id="""
Paul,Youtube,"Uploaded on Feb 7, 2007",Created playlists,"LineRider &quot;Discarded&quot; A Line Rider Short by TechDawg"" data-video-id=""cW44BpXpjYw"" data-set-video-id="""
Paul,Youtube,"Uploaded on Dec 1, 2006",Created playlists,"Leaping Shampoo"" data-video-id=""GX4_3cV_3Mw"" data-set-video-id="""
Paul,Youtube,"Published on Jun 8, 2012",Created playlists,Knightmare Series 4 Episode 13
Paul,Youtube,"Uploaded on Mar 25, 2007",Created playlists,"David Lynch on Product Placement"" data-video-id=""F4wh_mc8hRE"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jan 12, 2007",Created playlists,"Kitchen diaries"" data-video-id=""S7GGkKpBR-g"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 20, 2006",Created playlists,"Sleepy Spudgy"" data-video-id=""12PsUW-8ge4"" data-set-video-id="""
Paul,Youtube,"Published on Jun 8, 2012",Created playlists,Knightmare Series 4 Episode 14
Paul,Youtube,"Uploaded on Oct 8, 2006",Created playlists,"THE ORIGINAL Scary &#39;Mary Poppins&#39; Recut Trailer"" data-video-id=""2T5_0AGdFic"" data-set-video-id="""
Paul,Youtube,"Uploaded on Feb 5, 2007",Created playlists,"The BeatleBox - Apple vs. Apple"" data-video-id=""jcVS9ssNYVQ"" data-set-video-id="""
Paul,Youtube,"Uploaded on Oct 22, 2006",Created playlists,"Thom Yorke on BBC2 Culture Show"" data-video-id=""lYRY4FNzog4"" data-set-video-id="""
Paul,Youtube,"Uploaded on Nov 28, 2006",Created playlists,"A Thousand Roads lead to this"" data-video-id=""SS6mrp7Sbu4"" data-set-video-id="""
Paul,Youtube,"Published on Jun 8, 2012",Created playlists,Knightmare Series 4 Episode 15
Paul,Youtube,"Uploaded on Sep 9, 2005",Created playlists,"Kitty Comb"" data-video-id=""En1D6EGBU0E"" data-set-video-id="""
Paul,Youtube,"Published on Jun 8, 2012",Created playlists,Knightmare Series 4 Episode 16
Paul,Youtube,"Uploaded on Dec 7, 2006",Created playlists,"Newborn kittens"" data-video-id=""0cFxpGRJ_Fg"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jan 24, 2007",Created playlists,"elvy and his elefont"" data-video-id=""UA73pZwgRbw"" data-set-video-id="""
Paul,Youtube,"Published on May 14, 2012",Created playlists,"Knightmare Series 3 Episode 14"" data-video-id=""ejqrElsXrlk"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jan 2, 2007",Created playlists,"Cute baby tiger"" data-video-id=""idRc_KkInds"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jul 26, 2006",Created playlists,"Super Tiny baby bunny crawling around apartment"" data-video-id=""tHABT2Adee0"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 27, 2006",Created playlists,"New Hamsters at the NYHH"" data-video-id=""66TnSRonUWA"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 3, 2006",Created playlists,"Sleep-pea"" data-video-id=""tZ27crsRbTM"" data-set-video-id="""
Paul,Youtube,"Uploaded on Apr 18, 2006",Created playlists,"&quot;STOP THE MADNESS&quot; (1985, 1986) anti-drug music video"" data-video-id=""Z5zJvX3pIY4"" data-set-video-id="""
Paul,Youtube,"Uploaded on Oct 13, 2006",Created playlists,"Ben takes a photo of himself everyday"" data-video-id=""m7dnGo_2tZA"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 1, 2006",Created playlists,"Silver Lining: New(quay) Year&#39;s 2005"" data-video-id=""IqS3jgR7ReI"" data-set-video-id="""
Paul,Youtube,"Uploaded on Feb 4, 2006",Created playlists,"KITTEN"" data-video-id=""yDOSY2WcT6o"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 1, 2006",Created playlists,"Men of Honour: New(quay) Year&#39;s 2005 Trailer 2"" data-video-id=""v8CbbxebzMM"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 24, 2006",Created playlists,"Bunny letter opener 兔肉開信機"" data-video-id=""QmroaYVD_so"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 16, 2006",Created playlists,"Kitten and his box."" data-video-id=""vdQj2ohqCBk"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 1, 2006",Created playlists,"Rob Laughing: New(quay) Year&#39;s 2005 Trailer 1"" data-video-id=""qr3Xwq1RB_E"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jun 20, 2006",Created playlists,"Blonde meets Apple - Lance Krall"" data-video-id=""_JJZiZHVovU"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 29, 2006",Created playlists,"The Simpsons vs Star Trek"" data-video-id=""EkTpUxh8Vxc"" data-set-video-id="""
Paul,Youtube,"Uploaded on Oct 27, 2006",Created playlists,"PACMAN and the GHOST CHASE"" data-video-id=""TVOCTQ1Iju0"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 10, 2006",Created playlists,"黒パグ、寝たいが寝れない"" data-video-id=""0SQBkr4QzI0"" data-set-video-id="""
Paul,Youtube,"Uploaded on Apr 2, 2006",Created playlists,"Apple WWDC 2002-The Death Of Mac OS 9"" data-video-id=""Cl7xQ8i3fc0"" data-set-video-id="""
Paul,Youtube,"Uploaded on Jul 27, 2006",Created playlists,"black and white"" data-video-id=""Sg9x5mUjbH8"" data-set-video-id="""
Paul,Youtube,"Uploaded on Oct 19, 2006",Created playlists,"Line Rider - Jagged Peak Adventure"" data-video-id=""bcu8ZdJ2dQo"" data-set-video-id="""
Paul,Youtube,"Uploaded on Dec 6, 2005",Created playlists,"Appalachian State University is HOT HOT HOT"" data-video-id=""pVENWl8uBeg"" data-set-video-id="""
Paul,Youtube,"Uploaded on Aug 2, 2006",Created playlists,"funny kitten"" data-video-id=""O4NviwZ1lns"" data-set-video-id="""
Paul,Youtube,,Created playlists,"[Private video]"" data-video-id=""Om84Zc4-KcQ"" data-set-video-id="""
Paul,Youtube,"Uploaded on Oct 10, 2006",Created playlists,"Sweet Tired Cat [-.-]Zzz - Fluffy Persian Kitten -"" data-video-id=""2GWPOPSXGYI"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 11, 2006",Created playlists,"Kittens take their first steps"" data-video-id=""0WdmIdgBj6A"" data-set-video-id="""
Paul,Youtube,"Uploaded on May 14, 2006",Created playlists,"kissing puppies"" data-video-id=""iOVmOy4Pd70"" data-set-video-id="""
Paul,Youtube,"Uploaded on Nov 9, 2005",Created playlists,"Sleepy Kitten"" data-video-id=""suxjuZUwsy8"" data-set-video-id="""
