用户ID,服务ID,时间,行为,title,内容
Steven,Stack Overflow,2017-03-13 12:30:26Z,comment,WebApiRequestLifestyle and BackgroundJob Confusion,"Hi @RosdiKasim: I&#39;m unable to reproduce your issue. Could you please create a new issue <a href=""https://github.com/simpleinjector/SimpleInjector/issues/new"" rel=""nofollow noreferrer"">here</a> and provide a minimum reproducible example and state which version you are using."
Steven,Stack Overflow,2017-03-10 09:43:12Z,comment,Simple Injector Account Controller dependencies issue in Asp.Net Web API,"Related: <a href=""https://stackoverflow.com/a/28948205/264697"">stackoverflow.com/a/28948205/264697</a>"
Steven,Stack Overflow,2017-03-08 09:37:36Z,comment,DI in .NET Core without ASP.NET Core,"Option 3. Use <a href=""http://blog.ploeh.dk/2014/06/10/pure-di/"" rel=""nofollow noreferrer"">Pure DI</a>."
Steven,Stack Overflow,2017-03-03 05:54:29Z,comment,How to do constructor injection in Simple Injector if constructor takes another interface?,Is that user name constant for the lifetime of the running application or does it change per request (as in: is it the name of the user who has triggered the current request)
Steven,Stack Overflow,2017-02-28 19:41:12Z,comment,Simple Injector Prevent Locked Container,Please add more details to your question to we can analyze the root cause of why you need to do a register-resolve-register.
Steven,Stack Overflow,2017-03-13 09:26:16Z,comment,Can Unity Load Assemblies other than current folder,"And why are you trying to avoid to reference assemblies from your Composition Root? The <a href=""http://blog.ploeh.dk/2011/07/28/CompositionRoot/"" rel=""nofollow noreferrer"">Composition Root</a> will reference everything anyway. There is typically little reason to do dynamic assembly loading at that point."
Steven,Stack Overflow,2017-03-07 12:05:32Z,comment,ASP.Net MVC Controller takes too long to initialize its constructor,"The solution is to ensure that your <a href=""http://blog.ploeh.dk/2011/03/03/InjectionConstructorsshouldbesimple/"" rel=""nofollow noreferrer"">injection constructors are simple</a>."
Steven,Stack Overflow,2017-03-02 06:56:31Z,comment,How to convert an object to a wrapper object in Ninject &amp; C#?,You don&#39;t need Ninject for this. You can simply call <code>new AWrapper(new A { Name = &quot;bob&quot; })</code>.
Steven,Stack Overflow,2017-02-28 16:24:27Z,comment,convert autofac to simple injector : named instance - WithParameter,What&#39;s the function of the <code>PerRequestCacheManager</code> registration with the <code>snt_cache_per_request</code> name. It doesn&#39;t seem relevant to the question. Is this keyed registration used somewhere else?
Steven,Stack Overflow,2017-03-10 09:35:57Z,comment,Simple Injector Account Controller dependencies issue in Asp.Net Web API,"Related: <a href=""https://stackoverflow.com/q/37085776/3294832"">stackoverflow.com/q/37085776/3294832</a>"
Steven,Stack Overflow,2017-03-13 09:24:47Z,comment,Can Unity Load Assemblies other than current folder,"No, you don&#39;t. You can load assemblies dynamically in code as well."
Steven,Stack Overflow,2017-03-06 11:59:03Z,comment,How to defer execution of injected services in mvc controllers,Did you run a performance test to see what the difference is and whether this actually matters for your application?
Steven,Stack Overflow,2017-03-01 19:51:53Z,comment,Simple Injector container can&#39;t resolve dependency,"Concerning loggers, also take a look at <a href=""https://stackoverflow.com/questions/5646820/logger-wrapper-best-practice"">the following advise</a>."
Steven,Stack Overflow,2017-02-27 10:49:11Z,comment,Do we need to adhere to the Open-Closed Principle if we have good test coverage?,Is wasn&#39;t only an open/closed principle violation. It was the complete SOLID package actually. Those principles are never violated in isolation.
Steven,Stack Overflow,2017-03-10 09:35:48Z,comment,Simple Injector Account Controller dependencies issue in Asp.Net Web API,"Related: <a href=""https://stackoverflow.com/q/36356431/3294832"">stackoverflow.com/q/36356431/3294832</a>"
Steven,Stack Overflow,2017-03-13 07:47:31Z,comment,Can Unity Load Assemblies other than current folder,"If you switch to code based configuration, there is no limitation in where you  can load assemblies from."
Steven,Stack Overflow,2017-03-04 12:02:02Z,comment,"In Asp.net Core , Dependency Injection,How to do scope obj in a Singleton Object",@amazing you should post a new question with the appropriate details (and real class names). You have a cyclic dependency and which is caused by an error in tour design: typically caused by a Single Responsibility violation.
Steven,Stack Overflow,2017-03-01 19:37:11Z,comment,Simple Injector container can&#39;t resolve dependency,You can let Simple Injector report fully qualified type names to make it easier to find these errors. Just set: <code>container.Options.UseFullyQualifiedTypeNames = true</code>.
Steven,Stack Overflow,2017-02-27 09:03:41Z,comment,Do we need to adhere to the Open-Closed Principle if we have good test coverage?,"The open-closed principle is about preventing sweeping changes. Even if you have every part of your application covered with tests, that doesn&#39;t mean that you can easily add or change your code base. A recent client of mine had a code base that had a very high percentage of code coverage, but making changes was still really painful. One of the reasons was that even small feature requests lead to large ripples through the system (an OCP violation). This was in many cases so costly, that management sometimes decided to cancel such feature request."
Steven,Stack Overflow,2017-03-10 06:42:10Z,comment,Simple Injector Account Controller dependencies issue in Asp.Net Web API,"There&#39;s an old description on Codeplex about the <a href=""https://simpleinjector.codeplex.com/discussions/564822"" rel=""nofollow noreferrer"">Identity Framework template</a> that I think is still relevant."
Steven,Stack Overflow,2017-03-12 16:05:23Z,comment,"MVC: how my application will suffer, if i will get data transfer layer, not by dependency injection, but with singleton, accessed from everywhere?","That&#39;s a hard question to anwer, because it depends on the size and lifetime of your application. However, it is important to realize that a design like this violates the <a href=""https://en.wikipedia.org/wiki/Dependency_inversion_principle"" rel=""nofollow noreferrer"">Dependency Inversion Principle</a> and the Active Record pattern is considered to be <a href=""http://www.mehdi-khalili.com/orm-anti-patterns-part-1-active-record/"" rel=""nofollow noreferrer"">an anti-pattern</a>."
Steven,Stack Overflow,2017-03-03 22:51:28Z,comment,Is resolving a service in Startup.cs a service locator pattern?,"Big warning here: You should be very careful in calling <code>BuildServiceProvider</code>, because that would force the creation of a different container instance with its own set of singletons. This could lead to very weird behavior and hard to trace bugs. Instead, prefer to create the <code>MyRepository</code> by hand inside the <code>AddAuthorization</code> delegate."
Steven,Stack Overflow,2017-03-01 19:34:43Z,comment,Simple Injector container can&#39;t resolve dependency,"Prevent injecting a factory for the creation of loggers completely. This is leads to needed complexity and the only reason this is done is to implement context based injection. Please take a look at <a href=""https://simpleinjector.readthedocs.io/en/latest/advanced.html#context-based-injection"" rel=""nofollow noreferrer"">Context based injection</a> section of the documentation."
Steven,Stack Overflow,2017-02-26 09:37:44Z,comment,Access to container of Simple Injector MVC views,"Third, you should <i>not</i> do <code>Register(() =&gt; new Container(), ...)</code>. That will register an empty Container."
Steven,Stack Overflow,2017-03-10 06:29:46Z,comment,Simple Injector Account Controller dependencies issue in Asp.Net Web API,"AccountController is the absolute crap that is generated for you by a Visual Studio template. It&#39;s stuffed with bad practices, SOLID violations and amti-patterns. A great way to teach developers wrong things. Ideally uou should get rid of it or refactor it, but to get your application running, judt remove the overloaded constructor."
Steven,Stack Overflow,2017-03-12 10:46:42Z,comment,Register type per lifetime of another object,"Note that your question is off-topic for Stackoverflow, because you are asking for a &quot;Questions asking us to recommend or find a book, tool, software library, tutorial or other off-site resource&quot;."
Steven,Stack Overflow,2017-03-03 17:10:10Z,comment,Is resolving a service in Startup.cs a service locator pattern?,@MatiasFidemraizer: Not a fan at all. But why try to repeat things that are already expressed by others clearly.
Steven,Stack Overflow,2017-02-26 09:35:52Z,comment,Access to container of Simple Injector MVC views,You should not have any dependencies in your views. Views should be plain DTOs and the Controllers (or some other component) should create them. Neither should you inkect the Container itself into classes; that&#39;s an anti-pattern as well.
Steven,Stack Overflow,2017-03-08 12:28:33Z,comment,Get Instance from Simple Injector without &ldquo;GetInstance&rdquo; method,Can you show an example of where you need to resolve <code>ILogger</code> and why you do so?
Steven,Stack Overflow,2017-03-01 19:31:14Z,comment,Simple Injector container can&#39;t resolve dependency,"I copy-pasted your configuration to a Console application, but everything works. Could it be that the <code>ILogger</code> abstraction that <code>CommunicationApiFacade</code> refers to is a different type than the <code>ILogger</code> that your Composition Root refers to? These things usually happen when mixing Common.Logging and log4net."
Steven,Stack Overflow,2017-03-12 10:44:46Z,comment,Register type per lifetime of another object,What&#39;s completely missing from your question is <i>why</i> you require this behavior. What use case and design do you have that requires this behavior?
Steven,Stack Overflow,2017-03-03 09:12:09Z,comment,Simple Injector Prevent Locked Container,"@DanS.: Either prevent using extension methods for this, or pass in the required dependency as method argument in the extension method."
Steven,Stack Overflow,2017-02-25 21:13:35Z,comment,Dependency injection and caching classes best practice,You should use the first approach and do a Google search for &quot;Unity decorator pattern&quot;. You&#39;ll find several blog posts and Stackoverflow answers showing how to register decorators with Unity.
Steven,Stack Overflow,2017-03-08 11:35:07Z,comment,DI in .NET Core without ASP.NET Core,"I&#39;m not referring to the notion of Scoping at all. What I&#39;m referring to is the notion of adding &quot;new services while running your application&quot;, which is something you should simply never do. The notion of scoped registrations is something that the .NET Core DI supports, even though it does not allow updating the container while running. These two things are unrelated."
Steven,Stack Overflow,2017-03-01 16:53:55Z,comment,convert autofac to simple injector : named instance - WithParameter,"Great. Would you mind updating your question and showing the relevant classes and their constructors, like the <code>RedisCacheMan‌​ager</code> and <code>PerRequestCacheManager</code>. Also, could you show an example of how you would construct this set of objects if you didn&#39;t have a DI container (but without changing the classes itself). In other words, how would you construct these objects by hand."
Steven,Stack Overflow,2017-03-10 18:46:12Z,comment,autofac - configuration to set a property value based on generic type while resolving constructor parameter,Could you update your question to show that <i>actual</i> use case for this? What kind of information do you want this <code>CommandText</code> to return? Is this runtime data? And what is <code>CommandBase&lt;T&gt;</code>? Is that a data container (like DTO or message) or something with behavior?
Steven,Stack Overflow,2017-03-03 07:42:47Z,comment,".Net Core Service container, am I guarenteed to get last service registered for the interface?","I would say that getting the last one is guaranteed. If you look at the source code, you see this is guaranteed, and if they would change this behavior in the future, that would be a severe breaking change that not only would impact the .NET Core DI container, but all adapters for the 3rd party containers that have been written."
Steven,Stack Overflow,2017-02-25 00:42:28Z,comment,How can i catch Container exceptions?,You shouldn&#39;t catch container exceptions. There shouldn&#39;t be missing registrations. You should register Null Object implementations in case there isn&#39;t a &#39;real&#39; implementation.
Steven,Stack Overflow,2017-03-08 10:56:29Z,comment,Ninject SingetonScope doesn&#39;t work,"Does your code actually use <code>OnActivation</code> as described in the bug report? If so, please show that code. If not, why are you mentioning this?"
Steven,Stack Overflow,2017-03-01 16:01:18Z,comment,convert autofac to simple injector : named instance - WithParameter,Then show where that keyed registration is used.
Steven,Stack Overflow,2017-02-24 11:36:49Z,comment,Registering decorators with primitive configuration dependencies in Simple Injector,"Simple Injector (or any DI container for that matter) will only dispose instances whose lifetime is <i>explicitly</i> managed by the container. And unless you register that <code>CachedAppSettingsLoader</code> explicitly in Simple Injector, it doesn&#39;t know it exists."
Steven,Stack Overflow,2017-02-22 09:59:50Z,comment,how is repository pattern really done?,@no0b: What is it you want to know?
Steven,Stack Overflow,2017-02-21 10:36:33Z,comment,Get access to the IServiceProvider / container in .net core,"Your case is completely valid. Sometimes you need to delay or dispatch the creation of objects, and this means that you need to call back into the &#39;container&#39;. As long as this callback is implemented inside the <a href=""http://blog.ploeh.dk/2011/07/28/CompositionRoot/"" rel=""nofollow noreferrer"">Composition Root</a>, this is <a href=""http://blog.ploeh.dk/2011/08/25/ServiceLocatorrolesvs.mechanics/"" rel=""nofollow noreferrer"">absolutely fine</a>."
Steven,Stack Overflow,2017-02-17 18:27:35Z,comment,What actually happens when a controller is created in MVC6?,"It good to keep Controllers thin, but you should also keep data and behavior separated. A view model contains data, while Controllers and Services contain behavior."
Steven,Stack Overflow,2017-02-16 14:04:42Z,comment,C# How to unit test an interface method without implementation,"Your <code>AccountObj</code> looks like an entity. You should <a href=""https://stackoverflow.com/a/28767898/264697"">not inject dependencies into the constructor of your entities</a>."
Steven,Stack Overflow,2017-02-24 11:28:22Z,comment,Registering decorators with primitive configuration dependencies in Simple Injector,In none of the cases will it be disposed by Simple Injector. It doesn&#39;t know anything about it.
Steven,Stack Overflow,2017-02-21 13:03:02Z,comment,Lazy&lt;T&gt; caching with/without backing field - performance?,What have you tried to measure the performance hit?
Steven,Stack Overflow,2017-02-20 17:01:43Z,comment,How to configure restrictions with Unity dependency injection?,"@Yacoub what I think the OP wants is to do NDepend like analysis to verify the architectural constraints. He wants to verify whether the developers play by the rules. What I&#39;m saying is that it&#39;s actually quete hard to verify this when doing Pyre DI, except of course when applying good old code reviews."
Steven,Stack Overflow,2017-02-17 15:26:59Z,comment,Autofac. RegisterType after .Build and register/resolve list,Create the <code>PluginLoader</code> manually inside <code>ConfigureServices</code>.
Steven,Stack Overflow,2017-02-16 10:34:49Z,comment,How to resolve type at run time to avoid multipe if else,@weston: Note that I&#39;m talking about a &quot;hard-coded list&quot; of options. The dictionary is a hard-coded list just as <code>if</code>-<code>else</code> and <code>switch</code>-<code>case</code> are.
Steven,Stack Overflow,2017-02-23 13:11:55Z,comment,Questions on SOLID/TDD,"These deserve 3 separate questions here on SO, but even in that case, each question is by itself too broad to be a good fit for Stackoverflow."
Steven,Stack Overflow,2017-02-21 13:02:43Z,comment,Lazy&lt;T&gt; caching with/without backing field - performance?,"&quot;Whether it does or does not follow the right IoC / DI principles is not the question.&quot; Not the question, but always something that is good to question."
Steven,Stack Overflow,2017-02-20 16:39:29Z,comment,How to configure restrictions with Unity dependency injection?,"I disagree here with @YacoubMassad. It is actually much harder to do this kind of automated analysis when you build up the object graph by hand. However, I don&#39;t know whether it is possible to do this with Unity. I know you can do this kind of Object Graph analysis in Simple Injector though. Besides this, I find your restriction quite suspicious. Seems you are forcing a strict layered approach, while you don&#39;t apply simple code reviews."
Steven,Stack Overflow,2017-02-17 14:26:47Z,comment,Autofac. RegisterType after .Build and register/resolve list,"Updating your existing configuration after it has been built is a bad idea, that&#39;s why that method is obsolete. You should move the loading of your plugins to the ConfigureServices method."
Steven,Stack Overflow,2017-02-15 21:17:54Z,comment,DI/IoC for .net mvc async/await,"Hi Quentin, that was not the error I was looking for. This is the exception you get when you are using the <code>ExecutionContextScopeLifestyle</code>. Instead, change the <code>Container.Options.DefaultScopedLifestyle</code> to <code>WebRequestLifestyle</code> and post the exception related to that change. ps. Instead of posting an image, please post the exception details as text instead. This makes it easier to read, copy and for other search engines to index your question."
Steven,Stack Overflow,2017-02-23 12:06:03Z,comment,ASP.NET Core and injecting IServiceProvider,@arthur.borisow: that&#39;s correct. the <code>CommandProcessor</code> should be part of the start up project. You should certainly not place the <code>ICommand</code> and <code>ICommandHandler&lt;T&gt;</code> abstractions and <code>CommandProcessor</code> implementation in the same project.
Steven,Stack Overflow,2017-02-21 13:01:39Z,comment,MvcGrid.Net fails to load when using Scoped dbContext,"What I&#39;m saying is that Simple Injector will create a <code>DbContext</code> for you on each request and will dispose it when the request ends, but I expect that somewhere some code of you is holding on (indefinitely) to a <code>DbContext</code> instance."
Steven,Stack Overflow,2017-02-20 08:31:44Z,comment,Multithreading issue with Autofac in WPF application,"Every thread should get its own object graph. This object graph could consist of objects that are shared across threads, but services should not be passed on to other threads by application code. This should be encapsulated inside the Composition Root."
Steven,Stack Overflow,2017-02-17 12:02:17Z,comment,Getting rid of the ServiceLocator in the base class,"I agree with your solution as a temporary fix, since when dealing with legacy code, every intermediate step is allowed to get into a better place. I however disagree with your solution from a &quot;long running perspective&quot;, since in the end this constructor should be gone."
Steven,Stack Overflow,2017-02-15 21:06:25Z,comment,DI/IoC for .net mvc async/await,"You state &quot;error out before hit this line&quot; when using the <code>WebRequestLifestyle</code>. Can you post the complete exception details (exception type, message and stack trace of the exception and all inner exceptions) that you get?"
Steven,Stack Overflow,2017-02-23 09:15:17Z,comment,LifeStyle of NLog wrapper class,"As far as I know, NLog is thread-safe, so you can safely reuse your logger. You can make it Singleton."
Steven,Stack Overflow,2017-02-19 21:18:28Z,comment,mvvm light simpleIoc constructor injection,"You are mixing things up here. A DI Container (and DI in general) is not meant to build up DTOs and entities; its meant to build up graphs of application components, i.e. the classes that contain that application&#39;s behavior. <code>ShowEmployeeViewModel</code> is a DTO and <code>IEmployee</code> is an entity. Do not register them in your container."
Steven,Stack Overflow,2017-02-17 11:44:45Z,comment,What actually happens when a controller is created in MVC6?,Letting view models being built up by the DI container is a REALLY really bad idea. A View Model is a DTO and should contain no dependencies. You should keep this completely separated.
Steven,Stack Overflow,2017-02-15 18:45:31Z,comment,SimpleInjector dictionary as constructor argument,"@CarlosTorrecillas: Whether or not <code>OtherInterface</code> is <i>Singleton</i> is irrelevant in this case, because the <code>Func&lt;T&gt;</code> will forward the call back to the container on each call. This means that the lifestyle of the factory instances is preserved, even though <code>OtherInterface</code> is a <i>Singleton</i>."
Steven,Stack Overflow,2017-02-21 12:42:27Z,comment,MvcGrid.Net fails to load when using Scoped dbContext,The previous web request has ended.
Steven,Stack Overflow,2017-02-22 13:10:01Z,comment,adding generic services in asp.net core DI,@Tseng: That&#39;s obviously a typo.
Steven,Stack Overflow,2017-02-19 12:18:02Z,comment,Multithreading issue with Autofac in WPF application,The solution is to not inject the service but resolve it from a scope and call it.
Steven,Stack Overflow,2017-02-17 11:41:16Z,comment,Getting rid of the ServiceLocator in the base class,"Unfortunately, this leads to the <a href=""https://www.cuttingedge.it/blogs/steven/pivot/entry.php?id=97"" rel=""nofollow noreferrer"">Multiple Constructors anti-pattern</a>."
Steven,Stack Overflow,2017-02-15 12:58:09Z,comment,using autofac inside project library,"@trailmax: those posts are actually over reusable libraries, such as NuGet packages. This question is about libraries (or projects) within the same solution. I think more related to this question is <a href=""http://blog.ploeh.dk/2011/07/28/CompositionRoot/"" rel=""nofollow noreferrer"">blog.ploeh.dk/2011/07/28/CompositionRoot</a> and this <a href=""https://stackoverflow.com/questions/9501604/ioc-di-why-do-i-have-to-reference-all-layers-assemblies-in-entry-application"" title=""ioc di why do i have to reference all layers assemblies in entry application"">stackoverflow.com/questions/9501604/&hellip;</a>."
Steven,Stack Overflow,2017-02-21 12:35:46Z,comment,MvcGrid.Net fails to load when using Scoped dbContext,"Since you configured your DbContext as Scoped, it means that Simple Injector will dispose it when the scope ends (usually a web request). Since the disposed context is reused, your task is simple: find out who is keeping that DbContext alive and reuses that same instance. There is not enough information in your question for anyone else but you to answer this."
Steven,Stack Overflow,2017-02-22 13:08:53Z,comment,adding generic services in asp.net core DI,"You mean to say that the following registration doesn&#39;t work with the built-in container? <code>services.AddScoped(typeof(IContextProvider&lt;,&gt;), typeof(ContextProviderOne&lt;&gt;)); services.AddScoped(typeof(IContextProvider&lt;,&gt;), typeof(ContextProviderTwo&lt;&gt;));</code>?"
Steven,Stack Overflow,2017-02-19 09:39:32Z,comment,Multithreading issue with Autofac in WPF application,This is exactly where the <code>InstancePerLifetimeScope</code> is meant for. You wrap a logical unit of work inside a lifetime scope and resolve from that scope. This ensures that every unit of work has its own <code>DataContext</code> and this prevents sharing of instances across threads or operations.
Steven,Stack Overflow,2017-02-17 11:06:01Z,comment,Getting rid of the ServiceLocator in the base class,"There are absolutely cases where we can&#39;t really work around this, and need to revert to Property Injection, or a mix of Humble Objects and Service Location, but I don&#39;t think this is one of the cases. If you look at my answer, you&#39;ll see I propose a different solution."
Steven,Stack Overflow,2017-02-15 12:55:41Z,comment,How to use unity and object factory,Can you rewrite your example code to show the actual code and class named in play here? What is <code>Dependency</code> for type and why do you need to dispose it at the end of each method?
Steven,Stack Overflow,2017-02-21 12:26:54Z,comment,MvcGrid.Net fails to load when using Scoped dbContext,And did you call <code>container.Verify()</code>?
Steven,Stack Overflow,2017-02-22 11:03:38Z,comment,Simple Injector with Domain Events,And you can also do: <code>container.RegisterSingleton&lt;IEventDispatcher&gt;(new SimpleInjectorEventDispatcher(container));</code>.
Steven,Stack Overflow,2017-02-18 14:50:16Z,comment,how is repository pattern really done?,"<code>FindUsersBySearchTextQuery</code> is merely the object that contains information about the search. These could be IDs, search text, or what ever comes directly from the UI. It is the <code>FindUsersBySearchTextQueryHandler</code>s job to do the search based on the input data, including possible transformation to something that your search engine understands."
Steven,Stack Overflow,2017-02-17 10:59:29Z,comment,Getting rid of the ServiceLocator in the base class,Correctly. Constructor injector gives us the <i>guarantee</i> that an object is set.up correctly after its construction. We lose that ability with property injection.
Steven,Stack Overflow,2017-02-15 10:40:15Z,comment,SimpleInjector dictionary as constructor argument,Can you post some code that shows this?
Steven,Stack Overflow,2017-02-21 12:08:03Z,comment,MvcGrid.Net fails to load when using Scoped dbContext,"Please post the complete exception details. Exception type, message and stack trace of the exception and <i>all</i> inner exceptions."
Steven,Stack Overflow,2017-02-22 10:58:08Z,comment,Simple Injector with Domain Events,You don&#39;t have to do anything. You already supply it as constructor argument. Simple Injector will automatically inject itself.
Steven,Stack Overflow,2017-02-18 14:07:13Z,comment,how is repository pattern really done?,"@no0b: I&#39;m not sure I understand your question? The TQuery is the definition of what is possible to ask (the message containing the search criteria). Using the TQuery, the IQueryHandler will execute the search and will build up the TResult."
Steven,Stack Overflow,2017-02-17 10:50:26Z,comment,Getting rid of the ServiceLocator in the base class,"Property Injection however leads to <a href=""http://blog.ploeh.dk/2011/05/24/DesignSmellTemporalCoupling/"" rel=""nofollow noreferrer"">Temporal Coupling</a>."
Steven,Stack Overflow,2017-02-15 10:27:54Z,comment,SimpleInjector dictionary as constructor argument,How does <code>OtherInterface</code> determine when to use <code>named-a</code> or <code>named-b</code>? How does it determine the keys <code>a</code> and <code>b</code>?
Steven,Stack Overflow,2017-02-21 11:26:16Z,comment,Action filter - dependency injection,"@CamiloTerevinto: The answer is still the same: Make your attributes either <a href=""http://blog.ploeh.dk/2014/06/13/passive-attributes/"" rel=""nofollow noreferrer"">passive</a> or <a href=""http://xunitpatterns.com/Humble%20Object.html"" rel=""nofollow noreferrer"">Humble objects</a>."
Steven,Stack Overflow,2017-02-22 10:43:39Z,comment,Simple Injector with Domain Events,"Entities? No. Entities should not get their dependencies using Constructor Injection. If you wish to apply DDD, you should use Method Injection, i.e. the entity method that actually uses the dependency should require it through its method."
Steven,Stack Overflow,2017-02-18 09:36:34Z,comment,What actually happens when a controller is created in MVC6?,"Instead of creating *Manager or *Services classes for your business layer, try creating *Handlers instead, where each class implements exactly 1 use case, as described  <a href=""https://www.cuttingedge.it/blogs/steven/pivot/entry.php?id=91"" rel=""nofollow noreferrer"">here</a>."
Steven,Stack Overflow,2017-02-16 15:19:00Z,comment,DI/IoC for .net mvc async/await,"@Quentin: No, you can keep using the <code>WebRequestLifestyle</code> in MVC."
Steven,Stack Overflow,2017-02-15 10:22:11Z,comment,IoC framework in published NuGet library?,"You are correct Matias, a Conforming Container is a registration API. As long as it only contains a Resolve API the most it can be is a Service Locator; much less painful."
Steven,Stack Overflow,2017-02-21 10:54:22Z,comment,Action filter - dependency injection,"Possible duplicate of: <a href=""https://stackoverflow.com/questions/29915192/property-injection-on-attributes"" title=""property injection on attributes"">stackoverflow.com/questions/29915192/&hellip;</a>"
Steven,Stack Overflow,2017-02-15 09:18:29Z,comment,SimpleInjector dictionary as constructor argument,"There is quite extensive documentation about keyed registrations, dictionaries and factories <a href=""https://simpleinjector.readthedocs.io/en/latest/howto.html#resolve-instances-by-key"" rel=""nofollow noreferrer"">here</a>. If this documentation doesn&#39;t answer your question, please update your question with more details (and don&#39;t forget to post a comment, to notify any readers that your question has changed)."
Steven,Stack Overflow,2017-02-13 19:21:23Z,comment,Behavior Injection Into Entity or Better Way?,"I don&#39;t see how this related to double dispatch, except when you start publishing events, which seems unrelated to your question."
Steven,Stack Overflow,2017-02-08 18:58:40Z,comment,AutoFac Resolve CommandHandlers from specific derived services,Have you tried it? I do believe that Autofac has some sort of support for variance.
Steven,Stack Overflow,2017-02-06 10:36:40Z,comment,Ninject .ToFactory: Exception: &ldquo;Exception thrown: &#39;Ninject.ActivationException&#39; in Ninject.dll&rdquo;,Please read the articles.
Steven,Stack Overflow,2017-02-04 10:01:11Z,comment,Delay creation of instance in Simple Injector,"Besides, you read <a href=""http://blog.ploeh.dk/2011/03/03/InjectionConstructorsshouldbesimple/"" rel=""nofollow noreferrer"">this article</a> that states that construction of application components, such as <code>Configuration</code> should not depend on anything that can fail, as is happening in your case?"
Steven,Stack Overflow,2017-02-15 08:53:03Z,comment,IoC framework in published NuGet library?,"&quot;You define an interface to generalize underlying IoC/DI operations and a possible implementation should be wired up to a configuration object&quot;. You are advising the <a href=""http://blog.ploeh.dk/2014/05/19/conforming-container/"" rel=""nofollow noreferrer"">Conforming Container anti-pattern</a>."
Steven,Stack Overflow,2017-02-13 18:52:45Z,comment,Behavior Injection Into Entity or Better Way?,"Duplicate of <a href=""https://stackoverflow.com/questions/28715966/entity-framework-object-materialization-and-dependency-injection"" title=""entity framework object materialization and dependency injection"">stackoverflow.com/questions/28715966/&hellip;</a>?"
Steven,Stack Overflow,2017-02-08 16:04:31Z,comment,Unity Dependency Injection&#39;s version of WhatDoIHave,"<a href=""http://www.palmmedia.de/Blog/2011/8/30/ioc-container-benchmark-performance-comparison"" rel=""nofollow noreferrer"">This blog post</a> contains a list of containers that have some sort of &#39;what do I have&#39; kind of feature. From the most popular libraries, only Simple Injector, StructureMap and Castle Windsor have such a feature."
