用户ID,服务ID,时间,行为,标记
Peter Lawrey,Stack Overflow,2012-09-22 03:02:36Z,awarded,math
Peter Lawrey,Stack Overflow,2012-08-22 03:02:29Z,awarded,file-io
Peter Lawrey,Stack Overflow,2012-11-15 03:02:49Z,awarded,static
Peter Lawrey,Stack Overflow,2012-06-28 03:03:03Z,awarded,methods
Peter Lawrey,Stack Overflow,2012-02-18 03:02:39Z,awarded,arraylist
Peter Lawrey,Stack Overflow,2012-09-21 23:36:58Z,awarded,Custodian
Peter Lawrey,Stack Overflow,2012-08-17 03:02:58Z,awarded,primitive
Peter Lawrey,Stack Overflow,2012-11-09 03:02:35Z,awarded,design-patterns
Peter Lawrey,Stack Overflow,2012-06-20 03:03:46Z,awarded,floating-point
Peter Lawrey,Stack Overflow,2012-09-18 03:02:40Z,awarded,recursion
Peter Lawrey,Stack Overflow,2012-08-13 12:42:39Z,awarded,Citizen Patrol
Peter Lawrey,Stack Overflow,2012-11-01 03:02:48Z,awarded,networking
Peter Lawrey,Stack Overflow,2012-08-11 03:03:00Z,awarded,inheritance
Peter Lawrey,Stack Overflow,2012-09-17 03:03:03Z,awarded,arrays
Peter Lawrey,Stack Overflow,2012-10-17 03:02:38Z,awarded,memory-management
Peter Lawrey,Stack Overflow,2012-02-17 13:40:14Z,awarded,Legendary
Peter Lawrey,Stack Overflow,2012-06-18 12:11:53Z,awarded,Strunk &amp; White
Peter Lawrey,Stack Overflow,2012-09-16 03:01:01Z,awarded,string
Peter Lawrey,Stack Overflow,2012-10-11 03:02:57Z,awarded,random
Peter Lawrey,Stack Overflow,2012-08-07 13:49:01Z,awarded,Tag Editor
Peter Lawrey,Stack Overflow,2012-10-04 03:02:31Z,awarded,regex
Peter Lawrey,Stack Overflow,2012-09-16 03:01:01Z,awarded,serialization
Peter Lawrey,Stack Overflow,2012-02-16 03:02:27Z,awarded,garbage-collection
Peter Lawrey,Stack Overflow,2012-09-27 03:01:02Z,awarded,multithreading
Peter Lawrey,Stack Overflow,2012-09-13 03:02:24Z,awarded,list
Peter Lawrey,Stack Overflow,2012-05-21 17:07:07Z,awarded,Favorite Question
Peter Lawrey,Stack Overflow,2012-07-26 03:02:55Z,awarded,thread-safety
Peter Lawrey,Stack Overflow,2012-02-08 03:02:10Z,awarded,c++
Peter Lawrey,Stack Overflow,2012-05-18 03:02:37Z,awarded,nio
Peter Lawrey,Stack Overflow,2012-09-08 03:16:26Z,awarded,Generalist
Peter Lawrey,Stack Overflow,2012-01-13 03:03:08Z,awarded,double
Peter Lawrey,Stack Overflow,2012-09-26 03:02:24Z,awarded,class
Peter Lawrey,Stack Overflow,2012-05-02 03:02:48Z,awarded,oop
Peter Lawrey,Stack Overflow,2011-12-27 03:02:14Z,awarded,memory
Peter Lawrey,Stack Overflow,2012-07-26 03:02:55Z,awarded,synchronization
Peter Lawrey,Stack Overflow,2012-09-05 03:03:10Z,awarded,io
Peter Lawrey,Stack Overflow,2011-12-07 03:02:05Z,awarded,algorithm
Peter Lawrey,Stack Overflow,2012-08-24 03:02:41Z,awarded,c
Peter Lawrey,Stack Overflow,2012-09-25 03:02:28Z,awarded,interface
Peter Lawrey,Stack Overflow,2012-07-21 03:01:02Z,awarded,exception
Peter Lawrey,Stack Overflow,2012-05-01 03:02:41Z,awarded,enums
Peter Lawrey,Stack Overflow,2012-07-19 03:03:07Z,awarded,c#
Peter Lawrey,Stack Overflow,2012-04-19 03:03:13Z,awarded,performance
Peter Lawrey,Stack Overflow,2011-11-19 03:01:57Z,awarded,hashmap
Peter Lawrey,Stack Overflow,2011-11-09 19:29:09Z,awarded,Benefactor
Peter Lawrey,Stack Overflow,2012-07-11 03:03:14Z,awarded,optimization
Peter Lawrey,Stack Overflow,2012-04-09 02:31:00Z,awarded,Self-Learner
Peter Lawrey,Stack Overflow,2011-11-03 17:00:07Z,awarded,Promoter
Peter Lawrey,Stack Overflow,2012-03-06 03:03:14Z,awarded,file
Peter Lawrey,Stack Overflow,2011-10-15 03:01:51Z,awarded,jvm
Peter Lawrey,Stack Overflow,2011-06-10 03:01:29Z,awarded,arrays
Peter Lawrey,Stack Overflow,2010-12-13 11:09:22Z,awarded,Tenacious
Peter Lawrey,Stack Overflow,2009-01-24 07:22:32Z,awarded,Supporter
Peter Lawrey,Stack Overflow,2011-10-09 03:01:40Z,awarded,sockets
Peter Lawrey,Stack Overflow,2011-06-02 15:39:30Z,awarded,Epic
Peter Lawrey,Stack Overflow,2011-10-07 03:01:47Z,awarded,multithreading
Peter Lawrey,Stack Overflow,2010-11-27 18:34:32Z,awarded,Mortarboard
Peter Lawrey,Stack Overflow,2009-01-23 07:32:31Z,awarded,Teacher
Peter Lawrey,Stack Overflow,2011-05-04 14:15:50Z,awarded,Suffrage
Peter Lawrey,Stack Overflow,2011-10-03 03:01:35Z,awarded,concurrency
Peter Lawrey,Stack Overflow,2010-11-24 10:53:20Z,awarded,Student
Peter Lawrey,Stack Overflow,2011-09-18 03:01:38Z,awarded,collections
Peter Lawrey,Stack Overflow,2011-04-27 03:01:14Z,awarded,performance
Peter Lawrey,Stack Overflow,2010-01-11 17:13:49Z,awarded,java
Peter Lawrey,Stack Overflow,2011-09-07 03:01:37Z,awarded,reflection
Peter Lawrey,Stack Overflow,2009-06-01 20:52:31Z,awarded,Organizer
Peter Lawrey,Stack Overflow,2011-04-15 07:33:19Z,awarded,Scholar
Peter Lawrey,Stack Overflow,2011-08-30 03:01:34Z,awarded,string
Peter Lawrey,Stack Overflow,2009-04-02 18:52:49Z,awarded,java
Peter Lawrey,Stack Overflow,2011-08-17 03:01:34Z,awarded,generics
Peter Lawrey,Stack Overflow,2009-03-24 19:47:33Z,awarded,Civic Duty
Peter Lawrey,Stack Overflow,2011-02-20 16:48:13Z,awarded,Pundit
Peter Lawrey,Stack Overflow,2011-08-15 10:45:54Z,awarded,Excavator
Peter Lawrey,Stack Overflow,2009-02-07 10:07:31Z,awarded,Editor
Peter Lawrey,Stack Overflow,2011-01-25 06:21:55Z,awarded,Sportsmanship
Peter Lawrey,Stack Overflow,2011-06-10 07:57:11Z,awarded,Fanatic
Peter Lawrey,Stack Overflow,2009-01-31 08:22:33Z,awarded,Commentator
Peter Lawrey,Stack Overflow,2011-01-07 03:02:09Z,awarded,multithreading
Peter Lawrey,Stack Overflow,2009-01-29 07:27:34Z,awarded,Critic
Peter Lawrey,Stack Overflow,2011-01-04 03:01:53Z,awarded,java
Peter Lawrey,Stack Overflow,2010-12-28 09:51:51Z,awarded,Enthusiast
